level_0,level_1,0
median_age,pce_food_and_beverages_purchased_for_off-premises_consumption,0.0002012674044109631
pce_food_and_beverages_purchased_for_off-premises_consumption,median_age,0.0002012674044109631
poverty_rate,pce_food_services_and_accommodations,0.0010452335809454246
pce_food_services_and_accommodations,poverty_rate,0.0010452335809454246
population,gdp_compensation,0.0010613989524528105
gdp_compensation,population,0.0010613989524528105
subsidies,business_applications,0.0016616467594149588
business_applications,subsidies,0.0016616467594149588
poverty_rate,pce_food_and_beverages_purchased_for_off-premises_consumption,0.0016833004191707237
pce_food_and_beverages_purchased_for_off-premises_consumption,poverty_rate,0.0016833004191707237
pce_health,poverty_rate,0.0017378543892417801
poverty_rate,pce_health,0.0017378543892417801
gdp_compensation,business_applications_from_corporations,0.002315848248451157
business_applications_from_corporations,gdp_compensation,0.002315848248451157
poverty_rate,pce_transportation,0.0024033415001395073
pce_transportation,poverty_rate,0.0024033415001395073
mean_usual_hours,business_applications,0.0030091411798136326
business_applications,mean_usual_hours,0.0030091411798136326
per_cap_gdp_current_dollar,high_propensity_business_application,0.0036435941879931102
high_propensity_business_application,per_cap_gdp_current_dollar,0.0036435941879931102
pce_communication,poverty_rate,0.003982937817712703
poverty_rate,pce_communication,0.003982937817712703
business_applications,gdp_compensation,0.004013982879150145
gdp_compensation,business_applications,0.004013982879150145
mean_usual_hours,per_capita_personal_income,0.0046307828593282465
per_capita_personal_income,mean_usual_hours,0.0046307828593282465
poverty_rate,pce_clothing_footwear_and_related_services,0.004712843977639654
pce_clothing_footwear_and_related_services,poverty_rate,0.004712843977639654
median_age,pce_housing_utilities_and_fuels,0.004741352940681785
pce_housing_utilities_and_fuels,median_age,0.004741352940681785
per_cap_gdp_current_dollar,poverty_rate,0.0049977493320182455
poverty_rate,per_cap_gdp_current_dollar,0.0049977493320182455
business_applications_from_corporations,mean_usual_hours,0.005018884597850017
mean_usual_hours,business_applications_from_corporations,0.005018884597850017
pce_total,median_age,0.005042654927879035
median_age,pce_total,0.005042654927879035
edu_total,per_cap_gdp_current_dollar,0.005259554703231098
per_cap_gdp_current_dollar,edu_total,0.005259554703231098
median_age,median_monthly_house_cost,0.006016465194921716
median_monthly_house_cost,median_age,0.006016465194921716
pce_food_services_and_accommodations,median_age,0.006396136565282565
median_age,pce_food_services_and_accommodations,0.006396136565282565
pce_housing_utilities_and_fuels,poverty_rate,0.007328790674861623
poverty_rate,pce_housing_utilities_and_fuels,0.007328790674861623
pce_furnishings_household_equipment_and_routine_household_maintenance,median_age,0.007992282516824422
median_age,pce_furnishings_household_equipment_and_routine_household_maintenance,0.007992282516824422
mean_usual_hours,households_occupied_ratio,0.008055518713084813
households_occupied_ratio,mean_usual_hours,0.008055518713084813
gdp_current_dollar,subsidies,0.00939858556150798
subsidies,gdp_current_dollar,0.00939858556150798
pce_total,poverty_rate,0.009739698346978682
poverty_rate,pce_total,0.009739698346978682
pce_other_goods_and_services,poverty_rate,0.010125024137234514
poverty_rate,pce_other_goods_and_services,0.010125024137234514
median_age,pce_other_goods_and_services,0.010871940302160876
pce_other_goods_and_services,median_age,0.010871940302160876
edu_associate_degree,edu_high_school,0.01087449819349375
edu_high_school,edu_associate_degree,0.01087449819349375
business_applications,per_pupil_expenditure,0.011796844465471142
per_pupil_expenditure,business_applications,0.011796844465471142
subsidies,median_monthly_house_cost,0.012136622123805525
median_monthly_house_cost,subsidies,0.012136622123805525
poverty_rate,pce_furnishings_household_equipment_and_routine_household_maintenance,0.012508814927480892
pce_furnishings_household_equipment_and_routine_household_maintenance,poverty_rate,0.012508814927480892
median_age,pce_recreation,0.012753059349252083
pce_recreation,median_age,0.012753059349252083
per_pupil_revenue,business_applications_from_corporations,0.012927924160287508
business_applications_from_corporations,per_pupil_revenue,0.012927924160287508
high_propensity_business_application,gdp_compensation,0.01345950958028227
gdp_compensation,high_propensity_business_application,0.01345950958028227
mean_usual_hours,high_propensity_business_application,0.013660575776510142
high_propensity_business_application,mean_usual_hours,0.013660575776510142
business_applications_from_corporations,per_cap_gdp_current_dollar,0.014032666404334725
per_cap_gdp_current_dollar,business_applications_from_corporations,0.014032666404334725
edu_total,gdp_gross_operating_surplus,0.014260013149693678
gdp_gross_operating_surplus,edu_total,0.014260013149693678
high_propensity_business_application,year,0.014643495904716006
year,high_propensity_business_application,0.014643495904716006
pce_financial_services_and_insurance,median_age,0.016191518014733435
median_age,pce_financial_services_and_insurance,0.016191518014733435
gdp_gross_operating_surplus,high_propensity_business_application,0.01619243057272383
high_propensity_business_application,gdp_gross_operating_surplus,0.01619243057272383
per_pupil_revenue,business_applications,0.01695871043264071
business_applications,per_pupil_revenue,0.01695871043264071
median_age,edu_bachelor_degree,0.01730605869859949
edu_bachelor_degree,median_age,0.01730605869859949
mean_usual_hours,edu_high_school,0.017369028677707576
edu_high_school,mean_usual_hours,0.017369028677707576
per_pupil_expenditure,edu_total,0.01822422351384158
edu_total,per_pupil_expenditure,0.01822422351384158
per_capita_personal_income,edu_associate_degree,0.018603289108653588
edu_associate_degree,per_capita_personal_income,0.018603289108653588
poverty_rate,pce_financial_services_and_insurance,0.01949658640678823
pce_financial_services_and_insurance,poverty_rate,0.01949658640678823
mean_usual_hours,pce_communication,0.019798272446435578
pce_communication,mean_usual_hours,0.019798272446435578
population,per_pupil_revenue,0.02028112172416861
per_pupil_revenue,population,0.02028112172416861
population,per_pupil_expenditure,0.020360719074538784
per_pupil_expenditure,population,0.020360719074538784
per_pupil_expenditure,business_applications_from_corporations,0.02091181605559431
business_applications_from_corporations,per_pupil_expenditure,0.02091181605559431
per_cap_gdp_current_dollar,population,0.021335375061221882
population,per_cap_gdp_current_dollar,0.021335375061221882
business_applications_from_corporations,gdp_gross_operating_surplus,0.02173594624162745
gdp_gross_operating_surplus,business_applications_from_corporations,0.02173594624162745
median_age,pce_education,0.021851902686620458
pce_education,median_age,0.021851902686620458
rent_median_value,subsidies,0.0228319959914916
subsidies,rent_median_value,0.0228319959914916
pce_health,median_age,0.02288180434866348
median_age,pce_health,0.02288180434866348
high_propensity_business_application,per_pupil_expenditure,0.02353665410402244
per_pupil_expenditure,high_propensity_business_application,0.02353665410402244
edu_bachelor_degree,gini_index,0.023987649822260336
gini_index,edu_bachelor_degree,0.023987649822260336
edu_total,gdp_compensation,0.024079775611151197
gdp_compensation,edu_total,0.024079775611151197
median_income,edu_associate_degree,0.024344582710639193
edu_associate_degree,median_income,0.024344582710639193
median_age,pce_clothing_footwear_and_related_services,0.024959402451156812
pce_clothing_footwear_and_related_services,median_age,0.024959402451156812
poverty_rate,gdp_compensation,0.02513117047169467
gdp_compensation,poverty_rate,0.02513117047169467
poverty_rate,pce_recreation,0.026455524946685502
pce_recreation,poverty_rate,0.026455524946685502
per_cap_gdp_current_dollar,business_applications,0.026650229735832653
business_applications,per_cap_gdp_current_dollar,0.026650229735832653
per_pupil_expenditure,households_occupied_ratio,0.026775061825945048
households_occupied_ratio,per_pupil_expenditure,0.026775061825945048
median_age,pce_transportation,0.026893308723997394
pce_transportation,median_age,0.026893308723997394
mean_usual_hours,pce_transportation,0.02719150891708752
pce_transportation,mean_usual_hours,0.02719150891708752
high_propensity_business_application,per_pupil_revenue,0.028649699607185757
per_pupil_revenue,high_propensity_business_application,0.028649699607185757
edu_total,per_pupil_revenue,0.02945430505826236
per_pupil_revenue,edu_total,0.02945430505826236
pce_furnishings_household_equipment_and_routine_household_maintenance,mean_usual_hours,0.03067848144613649
mean_usual_hours,pce_furnishings_household_equipment_and_routine_household_maintenance,0.03067848144613649
poverty_rate,pce_education,0.03129643634024057
pce_education,poverty_rate,0.03129643634024057
mean_usual_hours,per_pupil_revenue,0.03260024072637798
per_pupil_revenue,mean_usual_hours,0.03260024072637798
business_applications_from_corporations,median_age,0.03438949263947573
median_age,business_applications_from_corporations,0.03438949263947573
edu_total,year,0.03483832968698922
year,edu_total,0.03483832968698922
edu_master_degree,population,0.03491129129867347
population,edu_master_degree,0.03491129129867347
median_age,gini_index,0.03497766475297607
gini_index,median_age,0.03497766475297607
median_age,pce_communication,0.03518811202378424
pce_communication,median_age,0.03518811202378424
rent_low_value_quartile,subsidies,0.03637898831951752
subsidies,rent_low_value_quartile,0.03637898831951752
poverty_rate,year,0.03827355118947036
year,poverty_rate,0.03827355118947036
mean_usual_hours,pce_clothing_footwear_and_related_services,0.03882859059555384
pce_clothing_footwear_and_related_services,mean_usual_hours,0.03882859059555384
pce_food_services_and_accommodations,mean_usual_hours,0.03993939327537403
mean_usual_hours,pce_food_services_and_accommodations,0.03993939327537403
gdp_gross_operating_surplus,population,0.042383228622199676
population,gdp_gross_operating_surplus,0.042383228622199676
edu_master_degree,edu_total,0.0426293033547192
edu_total,edu_master_degree,0.0426293033547192
median_age,rent_upper_value_quartile,0.04277493659090087
rent_upper_value_quartile,median_age,0.04277493659090087
edu_associate_degree,business_applications_from_corporations,0.04508121529789783
business_applications_from_corporations,edu_associate_degree,0.04508121529789783
gdp_gross_operating_surplus,poverty_rate,0.04654735088968313
poverty_rate,gdp_gross_operating_surplus,0.04654735088968313
taxes_on_production_and_imports_(topi),edu_associate_degree,0.04736987712914284
edu_associate_degree,taxes_on_production_and_imports_(topi),0.04736987712914284
median_age,house_low_value_quartile,0.04921604547449998
house_low_value_quartile,median_age,0.04921604547449998
high_propensity_business_application,edu_master_degree,0.04927349441934615
edu_master_degree,high_propensity_business_application,0.04927349441934615
population,mean_usual_hours,0.04959280410642553
mean_usual_hours,population,0.04959280410642553
business_applications,gdp_gross_operating_surplus,0.05057405355074145
gdp_gross_operating_surplus,business_applications,0.05057405355074145
median_age,house_median_value,0.05070508156282611
house_median_value,median_age,0.05070508156282611
pce_financial_services_and_insurance,edu_associate_degree,0.052914689096280575
edu_associate_degree,pce_financial_services_and_insurance,0.052914689096280575
mean_usual_hours,pce_recreation,0.053854744427824605
pce_recreation,mean_usual_hours,0.053854744427824605
population,year,0.054072195292807955
year,population,0.054072195292807955
pce_food_and_beverages_purchased_for_off-premises_consumption,mean_usual_hours,0.05422464543398415
mean_usual_hours,pce_food_and_beverages_purchased_for_off-premises_consumption,0.05422464543398415
pce_financial_services_and_insurance,mean_usual_hours,0.054586201593468206
mean_usual_hours,pce_financial_services_and_insurance,0.054586201593468206
pce_total,mean_usual_hours,0.055081233655843255
mean_usual_hours,pce_total,0.055081233655843255
high_propensity_business_application,subsidies,0.05564875620526947
subsidies,high_propensity_business_application,0.05564875620526947
pce_other_goods_and_services,mean_usual_hours,0.05591615360798414
mean_usual_hours,pce_other_goods_and_services,0.05591615360798414
edu_associate_degree,pce_health,0.057463542412974154
pce_health,edu_associate_degree,0.057463542412974154
mean_usual_hours,edu_total,0.057593969000381995
edu_total,mean_usual_hours,0.057593969000381995
edu_high_school,pce_health,0.05783629068684386
pce_health,edu_high_school,0.05783629068684386
pce_food_services_and_accommodations,edu_associate_degree,0.058073191585787345
edu_associate_degree,pce_food_services_and_accommodations,0.058073191585787345
business_applications_from_corporations,poverty_rate,0.059265101856435694
poverty_rate,business_applications_from_corporations,0.059265101856435694
edu_associate_degree,pce_recreation,0.05937046228226048
pce_recreation,edu_associate_degree,0.05937046228226048
mean_usual_hours,pce_housing_utilities_and_fuels,0.05949041131972048
pce_housing_utilities_and_fuels,mean_usual_hours,0.05949041131972048
poverty_rate,subsidies,0.06087745948621028
subsidies,poverty_rate,0.06087745948621028
gdp_current_dollar,mean_usual_hours,0.061255504045829114
mean_usual_hours,gdp_current_dollar,0.061255504045829114
edu_master_degree,business_applications_from_corporations,0.06130826159627182
business_applications_from_corporations,edu_master_degree,0.06130826159627182
mean_usual_hours,pce_health,0.06150963488877038
pce_health,mean_usual_hours,0.06150963488877038
median_age,house_upper_value_quartile,0.06231998064672798
house_upper_value_quartile,median_age,0.06231998064672798
subsidies,business_applications_from_corporations,0.0633183648803698
business_applications_from_corporations,subsidies,0.0633183648803698
pce_transportation,gdp_compensation,0.06335968263786354
gdp_compensation,pce_transportation,0.06335968263786354
rent_upper_value_quartile,subsidies,0.0639283184288712
subsidies,rent_upper_value_quartile,0.0639283184288712
pce_total,edu_associate_degree,0.06435370430958093
