state,year,household_renter_occ_ratio,household_owner_occ_ratio
AL,2005,0.2754057459688765,0.7245942540311234
AL,2006,0.2609800674639681,0.7390199325360318
AL,2007,0.2738471099483198,0.7261528900516803
AL,2008,0.274593232072178,0.725406767927822
AL,2009,0.2856521707844078,0.7143478292155921
AL,2010,0.2900448058264278,0.7099551941735722
AL,2011,0.2922514341017294,0.7077485658982706
AL,2012,0.3049030107055854,0.6950969892944145
AL,2013,0.3115464249611651,0.688453575038835
AL,2014,0.3167217195349644,0.6832782804650356
AL,2015,0.3101247420548679,0.689875257945132
AL,2016,0.3012238910996848,0.6987761089003152
AL,2017,0.3008763662865392,0.6991236337134608
AL,2018,0.3037228525406945,0.6962771474593055
AL,2019,0.2913067004278646,0.7086932995721353
AK,2005,0.3285960942710573,0.6714039057289427
AK,2006,0.327523019446544,0.672476980553456
AK,2007,0.3315228981482742,0.6684771018517258
AK,2008,0.3181716317454205,0.6818283682545794
AK,2009,0.3212975380925091,0.6787024619074908
AK,2010,0.3344269399519802,0.6655730600480199
AK,2011,0.3504527079907807,0.6495472920092193
AK,2012,0.3422924015107875,0.6577075984892125
AK,2013,0.3457213707759554,0.6542786292240446
AK,2014,0.3448330865403481,0.6551669134596518
AK,2015,0.3378790160607242,0.6621209839392759
AK,2016,0.3327442204383896,0.6672557795616103
AK,2017,0.3381579501579501,0.6618420498420499
AK,2018,0.3104257133449468,0.6895742866550532
AK,2019,0.3274168927124357,0.6725831072875643
AZ,2005,0.3031515964677583,0.6968484035322416
AZ,2006,0.3094993624539093,0.6905006375460907
AZ,2007,0.3096251074544277,0.6903748925455724
AZ,2008,0.3209138416472105,0.6790861583527894
AZ,2009,0.3319873430698768,0.6680126569301232
AZ,2010,0.3486008836289574,0.6513991163710426
AZ,2011,0.3669120476371754,0.6330879523628246
AZ,2012,0.3779807207633743,0.6220192792366257
AZ,2013,0.3848532180892113,0.6151467819107888
AZ,2014,0.3947386058013571,0.6052613941986429
AZ,2015,0.3823535978678281,0.6176464021321719
AZ,2016,0.3691985701025303,0.6308014298974697
AZ,2017,0.3479520201273056,0.6520479798726944
AZ,2018,0.3454632808743157,0.6545367191256843
AZ,2019,0.3369930182339762,0.6630069817660238
AR,2005,0.3097014138062382,0.6902985861937618
AR,2006,0.2985295785987447,0.7014704214012553
AR,2007,0.3074831018535324,0.6925168981464676
AR,2008,0.3109323375252988,0.6890676624747012
AR,2009,0.323764801450796,0.6762351985492039
AR,2010,0.3203345440474201,0.6796654559525799
AR,2011,0.3217811116015622,0.6782188883984378
AR,2012,0.3314579355304836,0.6685420644695164
AR,2013,0.3361632240672392,0.6638367759327608
AR,2014,0.3341020080195965,0.6658979919804036
AR,2015,0.3408354084770904,0.6591645915229096
AR,2016,0.3408077989151869,0.659192201084813
AR,2017,0.3353638171954796,0.6646361828045204
AR,2018,0.3260693105333906,0.6739306894666094
AR,2019,0.3279375879620682,0.6720624120379317
CA,2005,0.395804241236542,0.6041957587634579
CA,2006,0.3964712706305963,0.6035287293694037
CA,2007,0.4022751907921168,0.5977248092078832
CA,2008,0.4136144132713975,0.5863855867286025
CA,2009,0.4233662947247256,0.5766337052752744
CA,2010,0.4351069012709082,0.5648930987290919
CA,2011,0.4432362942041062,0.5567637057958937
CA,2012,0.4542972668542047,0.5457027331457953
CA,2013,0.4559554651029582,0.5440445348970417
CA,2014,0.4575923835939994,0.5424076164060005
CA,2015,0.4569750398603229,0.543024960139677
CA,2016,0.4563277022892438,0.5436722977107562
CA,2017,0.441959641766707,0.5580403582332929
CA,2018,0.439254482078335,0.5607455179216649
CA,2019,0.4373489202806763,0.5626510797193237
CO,2005,0.285443961348845,0.714556038651155
CO,2006,0.2852132824328662,0.7147867175671337
CO,2007,0.2916025022087161,0.7083974977912839
CO,2008,0.3070451228222726,0.6929548771777274
CO,2009,0.3116719806749516,0.6883280193250483
CO,2010,0.3215836072093672,0.6784163927906328
CO,2011,0.3394681051648892,0.6605318948351108
CO,2012,0.3473855478373973,0.6526144521626027
CO,2013,0.3436859525599756,0.6563140474400244
CO,2014,0.3445013406801255,0.6554986593198745
CO,2015,0.3441417697780194,0.6558582302219806
CO,2016,0.3355767351108914,0.6644232648891086
CO,2017,0.3279426516505052,0.6720573483494947
CO,2018,0.321377521878525,0.6786224781214749
CO,2019,0.314030351470274,0.685969648529726
CT,2005,0.2616689707139051,0.738331029286095
CT,2006,0.2636866731726877,0.7363133268273123
CT,2007,0.2599883679130447,0.7400116320869553
CT,2008,0.2732529689507867,0.7267470310492132
CT,2009,0.274459559468363,0.725540440531637
CT,2010,0.2863268632038719,0.713673136796128
CT,2011,0.294067123304683,0.705932876695317
CT,2012,0.2992823276420447,0.7007176723579553
CT,2013,0.3075949028609086,0.6924050971390914
CT,2014,0.3079988765114127,0.6920011234885872
CT,2015,0.3082366663461865,0.6917633336538135
CT,2016,0.3187815326090222,0.6812184673909778
CT,2017,0.304532471069303,0.6954675289306971
CT,2018,0.3125517246961269,0.6874482753038731
CT,2019,0.3124874798084772,0.6875125201915228
DE,2005,0.2636506565581911,0.7363493434418089
DE,2006,0.23937766802927,0.7606223319707299
DE,2007,0.2598556919523259,0.7401443080476741
DE,2008,0.247073858784313,0.7529261412156869
DE,2009,0.2563654437056253,0.7436345562943747
DE,2010,0.2615175996965806,0.7384824003034194
DE,2011,0.2777284354530644,0.7222715645469355
DE,2012,0.285783634463862,0.714216365536138
DE,2013,0.2736409618619835,0.7263590381380165
DE,2014,0.2883033147860024,0.7116966852139975
DE,2015,0.2873121233094765,0.7126878766905236
DE,2016,0.2911534553174413,0.7088465446825587
DE,2017,0.2813262817468153,0.7186737182531847
DE,2018,0.2833017232870344,0.7166982767129655
DE,2019,0.2826291089707852,0.7173708910292148
DC,2005,0.5494216859049771,0.4505783140950229
DC,2006,0.5241650726242667,0.4758349273757333
DC,2007,0.5232285201741823,0.4767714798258177
DC,2008,0.5347225341206948,0.4652774658793052
DC,2009,0.5303340959314122,0.4696659040685877
DC,2010,0.5616141536978768,0.4383858463021232
DC,2011,0.555677059902412,0.444322940097588
DC,2012,0.5677257228552466,0.4322742771447534
DC,2013,0.5784647719792593,0.4215352280207407
DC,2014,0.568894277400582,0.431105722599418
DC,2015,0.56930408737712,0.43069591262288
DC,2016,0.5846654433030195,0.4153345566969805
DC,2017,0.5450104504791013,0.4549895495208986
DC,2018,0.54907321076723,0.4509267892327699
DC,2019,0.539283031259981,0.460716968740019
FL,2005,0.2958898170695822,0.7041101829304178
FL,2006,0.2890416390258649,0.7109583609741351
FL,2007,0.2904760794088406,0.7095239205911594
FL,2008,0.2999473426940487,0.7000526573059512
FL,2009,0.3153944477592189,0.684605552240781
FL,2010,0.3205622503171138,0.6794377496828862
FL,2011,0.3350710426943014,0.6649289573056986
FL,2012,0.3484436471354306,0.6515563528645694
FL,2013,0.3590323197912059,0.640967680208794
FL,2014,0.3665838995441026,0.6334161004558974
FL,2015,0.3685978005831772,0.6314021994168227
FL,2016,0.3646293853495776,0.6353706146504223
FL,2017,0.352870712728107,0.647129287271893
FL,2018,0.3427195523457705,0.6572804476542295
FL,2019,0.3366725165364375,0.6633274834635625
GA,2005,0.3138203647554931,0.6861796352445069
